Subject,Age,BFI1,BFI10,BFI11,BFI12,BFI13,BFI14,BFI15,BFI16,BFI17,BFI18,BFI19,BFI2,BFI20,BFI21,BFI22,BFI23,BFI24,BFI25,BFI26,BFI27,BFI28,BFI29,BFI3,BFI30,BFI4,BFI5,BFI6,BFI7,BFI8,BFI9,Education,Ethnicity_1,Ethnicity_2_01,Ethnicity_2_02,Ethnicity_2_03,Ethnicity_2_04,Ethnicity_2_05,Ethnicity_2_06,Gender,PO_Econ,PO_Gen,PO_Soc,a01accon,a01acinc,a01incon,a01ininc,a02accon,a02acinc,a02incon,a02ininc,a03accon,a03acinc,a03incon,a03ininc,a04accon,a04acinc,a04incon,a04ininc,a05accon,a05acinc,a05incon,a05ininc,a06accon,a06acinc,a06incon,a06ininc,a07accon,a07acinc,a07incon,a07ininc,a08accon,a08acinc,a08incon,a08ininc,a09accon,a09acinc,a09incon,a09ininc,a10accon,a10acinc,a10incon,a10ininc,a11accon,a11acinc,a11incon,a11ininc,a12accon,a12acinc,a12incon,a12ininc,ta01accon,ta01acinc,ta01incon,ta01ininc,ta02accon,ta02acinc,ta02incon,ta02ininc,ta03accon,ta03acinc,ta03incon,ta03ininc,ta04accon,ta04acinc,ta04incon,ta04ininc,ta05accon,ta05acinc,ta05incon,ta05ininc,ta06accon,ta06acinc,ta06incon,ta06ininc,ta07accon,ta07acinc,ta07incon,ta07ininc,ta08accon,ta08acinc,ta08incon,ta08ininc,ta09accon,ta09acinc,ta09incon,ta09ininc,ta10accon,ta10acinc,ta10incon,ta10ininc,ta11accon,ta11acinc,ta11incon,ta11ininc,ta12accon,ta12acinc,ta12incon,ta12ininc,td01accon,td01acinc,td01incon,td01ininc,td02accon,td02acinc,td02incon,td02ininc,td03accon,td03acinc,td03incon,td03ininc,td04accon,td04acinc,td04incon,td04ininc,td05accon,td05acinc,td05incon,td05ininc,td06accon,td06acinc,td06incon,td06ininc,td07accon,td07acinc,td07incon,td07ininc,td08accon,td08acinc,td08incon,td08ininc,td09accon,td09acinc,td09incon,td09ininc,td10accon,td10acinc,td10incon,td10ininc,td11accon,td11acinc,td11incon,td11ininc,td12accon,td12acinc,td12incon,td12ininc,missing_data,sum_action_proscript_greatbenef,sum_action_proscript_smallbenef,sum_action_prescript_greatbenef,sum_action_prescript_smallbenef,sum_inaction_proscript_greatbenef,sum_inaction_proscript_smallbenef,sum_inaction_prescript_greatbenef,sum_inaction_prescript_smallbenef,C,I,N,BFI1R,BFI21R,BFI26R,BFI7R,BFI17R,BFI27R,BFI3R,BFI8R,BFI28R,BFI14R,BFI19R,BFI24R,BFI10R,BFI20R,BFI30R,Extra,Agree,Con,Neuro,Open,C_artificial,N_artificial,I_artificial
1,19.0,4,2,3,3,5,4,3,2,1,2,3,5,3,3,4,3,4,2,3,3,5,1,3,3,4,4,3,3,4,2,2,2,0,1,0,0,0,0,1,4,4,4,2,2,1,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,2,2,1,1,1,2,2,1,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,1,1,2,2,1,1,3609,5300,3844,18520,3763,4002,6789,7649,2133,1620,2781,2675,2369,2374,9421,8456,4187,1906,4041,7879,1991,1500,3878,8328,2381,3641,12255,4785,3728,1484,3604,11782,2847,2577,10080,5397,3538,5438,3260,8954,7443,10009,9066,5131,2197,2734,2422,2672,14019,26961,18758,23806,18804,15140,20675,32597,22297,14312,33173,30133,15898,18569,29782,19250,33243,22641,22210,38065,14669,21997,21065,50421,29204,41062,48673,30736,49008,35621,29288,22373,22686,21471,38746,29094,24282,29106,21172,46517,33192,16016,39228,31277,17604,17319,25274,44142,0,2,0,12,6,10,12,0,6,0.33333,1.0,1.0,2,3,3,3,5,3,3,2,1,2,3,2,4,3,3,2.66666666666667,3.83333333333333,2.66666666666667,2.33333333333333,3.16666666666667,0.133,0.909,0.913
2,18.0,2,2,5,2,4,3,4,4,2,4,4,3,2,4,4,3,4,3,2,4,4,4,1,1,4,5,1,2,3,2,2,2,0,0,0,1,0,0,2,4,4,4,2,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,2,1,2,1,2,2,2,1,1,2,2,1,1,2,1,1,1,2,2,1,1,2,2,1,1,3079,4877,2772,3450,3109,4527,3949,10301,2764,1839,9745,1434,2311,8092,3466,2831,2715,923,4199,4719,1330,4497,3459,5535,2680,4234,7400,3111,2997,2625,3203,8766,5746,8890,2750,4269,3000,1513,2669,4446,5980,3156,6077,3896,2559,1860,2703,2077,6158,23311,30951,21112,6707,12877,13983,18713,10006,22704,19742,30905,13384,6362,18374,10784,14443,8725,18108,26536,9691,16830,20410,18126,7955,32351,31513,21120,24721,7780,7568,13437,19420,4426,23400,23565,21235,24516,29428,34811,36327,50954,22871,42040,22729,23365,19826,17668,0,5,4,9,7,7,8,3,5,0.12623,0.46123,0.33441,4,2,4,4,4,2,5,3,2,3,2,2,4,4,5,3.33333333333333,3.16666666666667,3.5,2.83333333333333,4.16666666666667,0.236,0.855,0.822
3,18.0,1,2,4,3,3,3,3,4,4,3,2,4,2,2,4,3,2,3,2,4,4,4,4,2,4,5,4,4,4,4,2,1,1,0,0,0,0,0,2,2,2,2,2,1,1,2,1,1,2,2,2,1,1,2,2,1,1,2,2,1,2,2,1,1,2,2,2,1,1,2,2,1,2,2,1,1,2,2,2,1,1,2,2,2,1,2,2,2,1,2,2195,2985,2359,2810,2897,2022,3356,13028,3198,1528,5204,3512,2921,2353,4545,4586,2698,3372,3281,6219,2735,1657,3293,2485,2891,14241,4230,3219,10269,1699,2403,2719,9443,2781,6095,5097,2678,1918,2516,3432,2675,6394,5658,3180,2094,7507,1813,3655,12980,183218,25765,10820,18894,123557,14627,19511,15594,9761,17826,76721,10052,21017,33811,12345,17858,26487,16243,22466,33057,12972,39116,64147,41529,37304,45352,33058,25483,254090,18065,19717,11985,10016,22042,18083,26133,15219,16019,76832,21843,18764,39739,18516,32137,12751,34465,24179,0,10,3,7,0,2,9,5,12,0.58333,0.7,0.0,5,4,4,2,2,2,2,2,2,3,4,4,4,4,4,4.16666666666667,2.83333333333333,2.5,3.83333333333333,3.83333333333333,0.34,0.888,0.495
4,19.0,4,1,5,3,5,4,2,1,4,5,2,4,1,5,5,5,1,1,2,1,1,4,2,4,5,5,1,4,4,1,3,1,1,0,0,0,0,0,1,2,2,1,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,1,2,2,1,2,2,2,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,1,1,2,1,1,2,2630,2392,1775,4784,2183,7306,3281,21178,3046,2335,3272,4183,1928,11761,3459,2114,3498,2215,3160,4115,1596,1762,2440,13430,2022,4090,2533,3807,6384,2160,2405,2948,4137,2644,3956,3680,1709,7712,2524,7521,4528,2736,7309,5251,1667,5442,2097,9065,11711,15527,14642,17054,9375,15782,15245,42782,9938,10801,14959,15896,17538,20417,25575,12016,21443,17073,20751,29983,12783,10636,14006,32184,12420,28296,22524,32938,32446,22981,16024,16108,17956,9364,26079,17243,16384,33360,15575,50926,32092,10013,17119,24782,26719,15834,16677,47656,0,7,0,10,3,5,12,2,9,0.58333,1.0,0.6,2,1,4,2,2,5,4,2,5,2,4,5,5,5,2,2.33333333333333,3.5,4.33333333333333,3.5,3.33333333333333,0.083,0.958,0.958
5,19.0,4,3,4,4,3,2,4,4,5,4,4,3,3,4,4,4,5,5,4,3,4,4,4,2,4,5,4,2,4,4,3,1,1,0,0,0,0,0,1,5,5,3,2,1,1,2,1,1,2,1,1,1,2,2,1,1,2,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2,2,2,1,2,2,1,2,1,1,2,2,1,1,1,2,1,2,2,3039,3597,2186,3007,3671,1335,2943,4923,1753,1327,4547,4609,4320,2032,11849,2750,5373,2673,4013,4578,1967,1344,2454,907,2985,2961,2729,2224,3710,3943,2440,4794,1283,1071,4840,5963,3357,2878,2754,3486,5421,3141,11596,5151,3501,5060,2243,3031,19527,31205,22375,17282,24306,15827,23477,42331,23896,20437,35312,34878,17430,20611,30928,19092,20673,20369,28767,27978,20775,18469,24901,31553,29116,36115,42156,21922,42480,41042,27213,36281,29288,25158,33485,36844,28791,26005,27124,59783,34017,28149,28824,29381,30845,19135,25514,34108,0,9,5,4,4,3,7,8,8,0.16667,0.55,0.0,2,2,2,4,1,3,2,2,2,4,2,1,3,3,4,3.0,3.16666666666667,2.83333333333333,3.16666666666667,4.0,0.364,0.768,0.693
6,20.0,4,2,2,3,5,3,3,2,3,4,3,3,2,3,4,4,3,2,3,4,2,2,2,3,4,4,3,3,2,4,2,2,0,0,0,1,0,0,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,2,1,2,1,1,1,2,2,2,2,2,1,1,2,1,1,2,2,2,1,1,2,1,1,1,2,2,1,1,3279,25931,3539,6828,1783,2628,3373,8864,1428,1685,2723,5845,1503,3408,1817,2335,4727,5004,3853,1752,4651,1343,2460,2571,1288,4947,8937,3859,2938,1448,2145,8550,8879,1674,11209,4998,1741,2151,2445,3878,3560,2357,9300,5844,2431,1251,2239,3233,8272,30188,13651,15115,9230,5153,7090,22739,5058,9151,7319,31214,4302,7204,13632,7422,4176,11449,8780,33545,10344,8197,15975,27713,24977,5643,19508,6756,18920,2115,8972,1753,11782,8544,21373,14150,5713,6594,17253,18529,10133,11439,16449,3271,9488,11215,7480,12287,0,4,5,8,7,8,7,4,5,0.0001,0.5,0.25002,2,3,3,3,3,2,4,4,4,3,3,3,4,4,3,2.5,3.0,4.16666666666667,3.16666666666667,3.33333333333333,0.136,0.95,0.818
7,18.0,3,3,2,3,4,3,4,4,1,2,2,4,1,3,4,4,4,3,1,2,2,2,3,2,4,5,3,3,3,3,3,2,1,0,0,1,0,0,2,4,2,2,2,2,1,1,2,2,1,1,2,1,1,2,2,1,1,2,1,1,1,2,2,2,1,1,2,1,1,2,2,2,1,1,2,1,1,2,2,2,1,1,2,2,1,1,2,2,1,1,5124,3139,4870,13905,3033,6727,4015,12338,2735,8233,4386,9147,2538,6250,3720,3511,15159,3526,3202,3488,3423,12043,2659,3172,2521,10828,5226,3339,4160,2231,2252,30109,3729,1857,8169,2980,2845,4270,5344,4840,4088,3110,10398,3641,4334,2233,3125,8413,7155,25198,10857,19787,13483,22640,23724,29664,12937,15954,21903,22623,10114,16800,36827,12514,21899,38095,17719,19519,24099,8644,15576,34247,17362,19745,31733,17818,37937,18250,15423,16673,14512,14454,31973,18867,10736,24683,11848,47375,17285,10471,26272,22310,20038,7754,20813,53306,0,5,1,12,7,7,11,0,5,0.38103,0.0,0.88191,3,3,5,3,5,4,3,3,4,3,4,2,3,5,4,3.33333333333333,3.83333333333333,3.33333333333333,3.0,4.0,0.375,0.917,0.5
8,18.0,2,4,4,4,2,4,1,4,4,2,2,2,4,4,4,2,4,1,2,4,4,4,5,4,2,4,4,5,2,2,2,2,1,1,0,0,0,0,1,5,5,5,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,7091,2758,2174,6249,1736,2212,3596,11562,2049,2093,8435,2385,21467,3596,1932,1680,3016,4508,2248,2660,1653,1737,1618,1895,2023,2037,2137,2986,2076,2360,1520,3675,2041,1281,3552,6341,2331,2140,2813,2878,3376,1979,3563,2881,1530,1667,1833,5233,4342,33665,4030,22777,4405,9448,8396,19272,10303,36455,24810,19288,11401,15291,22574,1510,22969,9504,1619,22712,14624,1223,17328,18725,2125,49955,37922,10046,36824,5299,1789,26338,9375,1687,27296,9082,8572,8199,1352,36623,9157,2800,19308,3407,13616,2886,9184,25683,0,1,0,9,8,11,12,3,4,0.08333,1.0,0.72727,4,2,4,1,2,2,1,4,2,2,4,2,2,2,2,3.66666666666667,2.5,2.16666666666667,2.66666666666667,2.0,0.174,0.78,0.867
9,20.0,2,4,5,4,4,2,2,5,1,4,2,5,4,2,5,5,4,3,2,2,2,2,2,4,4,4,5,2,2,4,3,1,0,1,0,0,0,0,2,2,2,2,1,1,2,2,2,2,1,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,3424,3300,9421,3703,2860,9729,5499,5868,4033,2745,3067,11496,3532,2640,4796,6507,2342,4913,8282,34755,2412,3231,2176,3673,1865,2750,3751,6479,3205,2039,1921,2671,1984,3374,9719,3398,7837,2937,2465,2453,4289,4359,3979,6958,1533,2220,1664,2718,10146,19319,26907,16730,18359,13343,14829,18009,19531,16719,25002,27177,8625,13227,38038,22295,20154,25808,22295,36985,13570,21311,18377,24718,13237,34946,38698,31943,27199,24267,18375,24126,19313,12547,28408,19774,15361,27066,22024,38901,15397,15332,42973,18886,24640,20143,22078,25758,0,1,1,11,10,11,11,1,2,0.03538,0.60212,0.82041,4,4,4,4,5,4,4,4,4,4,4,2,2,2,2,4.5,4.5,4.16666666666667,3.33333333333333,2.5,0.083,0.958,0.917
10,18.0,2,2,3,2,5,5,4,4,3,3,5,4,2,2,4,4,4,4,3,4,3,1,3,1,2,5,5,4,4,1,2,1,1,0,0,0,0,0,1,6,6,5,1,1,2,2,2,2,1,2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,1,1,2,2,1,1,2,2,1,1,2314,2969,2777,3401,9626,2755,3204,7018,7289,3120,4659,10716,3621,4518,3833,2141,4717,2241,4684,4040,3747,2673,2594,3832,2797,7773,4454,10105,4702,4596,2080,1917,4925,4140,15701,4117,10470,2320,2547,3408,4415,3816,17740,3959,2030,2423,3220,2301,15421,27730,24610,15802,14235,9168,24106,21516,20356,20796,16990,47162,14489,33780,22635,22728,21244,19248,10388,28270,16586,12297,13863,39197,24282,42616,26642,17880,27394,17618,22271,26345,32749,15437,32172,33333,16550,20580,15110,32778,16087,18559,21120,49631,28621,17162,20750,22555,0,3,2,10,8,9,10,2,4,0.12281,0.55007,0.61693,4,4,3,2,3,2,3,2,3,1,1,2,4,4,5,3.83333333333333,2.83333333333333,3.33333333333333,1.33333333333333,4.33333333333333,0.364,0.763,0.693
